section,comm_a,comm_b,raw,bits,within_section_z,n_pairs_in_section,legacy_within_section_z,legacy_n_pairs_in_section,v9_status,v9_correction
2,KeterShemTov,KeterShemTovMS_L,0.6308,6.334,14.303,15,14.303,15,direct_pair_valid,
8,KeterShemTov,KeterShemTovMS_L,1.0000,6.334,8.780,36,8.780,36,direct_pair_valid,
15,KeterShemTov,KeterShemTovMS_L,0.5805,6.334,8.236,36,8.236,36,direct_pair_valid,
15,MeiratEinayim,SaportaOxford1645,0.5664,6.334,7.921,36,7.921,36,direct_pair_valid,
19_2,UnKnownEskorial,UnKnownVatikan214,0.8182,6.334,7.696,55,7.696,55,direct_pair_valid,
27,DaatChacham_Vat107_Main,DaatChacham_Vat214_Main,0.7987,6.334,7.496,55,7.496,55,direct_pair_valid,
20,UnKnownEskorial,UnKnownVatikan214,0.7660,6.334,7.084,66,7.084,66,direct_pair_valid,
22,DaatChacham_Vat214_Marginalia,UnKnownEskorial,0.6719,6.334,,28,6.984,36,excluded_default_marginalia,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
14,DaatChacham_Vat107_Main,DaatChacham_Vat214_Main,0.6771,6.334,,55,6.364,66,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
14,KeterShemTov,KeterShemTovMS_L,0.6678,6.334,,55,6.247,66,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
25_2,DaatChacham_Vat214_Marginalia,UnKnownEskorial,0.6437,6.334,,21,6.243,28,excluded_default_marginalia,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
26,UnKnownEskorial,UnKnownVatikan214,0.7013,6.334,6.094,66,6.094,66,direct_pair_valid,
6,KeterShemTov,KeterShemTovMS_L,0.5906,6.334,5.980,78,5.980,78,direct_pair_valid,
29,KeterShemTov,Ricanati_Zicaron_aharon_ed,0.6562,6.334,5.871,28,5.871,28,direct_pair_valid,
6,DaatChacham_Vat107_Main,DaatChacham_Vat214_Main,0.5727,6.334,5.755,78,5.755,78,direct_pair_valid,
10,KeterShemTov,KeterShemTovMS_L,0.5963,6.334,5.656,55,5.656,55,direct_pair_valid,
25,DaatChacham_Vat107_Main,DaatChacham_Vat214_Main,0.6000,6.334,5.561,28,5.561,28,direct_pair_valid,
30,DaatChacham_Vat214_Marginalia,UnKnownEskorial,0.7305,6.334,,36,5.551,45,excluded_default_marginalia,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
24,Comment_b_note_of_unknown,UnKnownVatikan214,0.5149,6.334,5.485,66,5.485,66,direct_pair_valid,
12,DaatChacham_Vat107_Main,DaatChacham_Vat214_Main,0.8013,6.334,,66,5.483,78,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
10,DaatChacham_Vat107_Main,DaatChacham_Vat214_Main,0.5733,6.334,5.324,55,5.324,55,direct_pair_valid,
24,UnKnownEskorial,UnKnownVatikan214,0.4979,6.334,5.210,66,5.210,66,direct_pair_valid,
17,KeterShemTov,KeterShemTovMS_L,0.6030,6.334,5.186,55,5.186,55,direct_pair_valid,
24,DaatChacham_Vat107_Main,DaatChacham_Vat214_Main,0.4933,6.334,5.136,66,5.136,66,direct_pair_valid,
32,DaatChacham_Vat107_Main,DaatChacham_Vat214_Main,0.6376,6.334,5.067,21,5.067,21,direct_pair_valid,
27,UnKnownEskorial,UnKnownVatikan214,0.5965,6.334,5.061,55,5.061,55,direct_pair_valid,
16,KeterShemTov,KeterShemTovMS_L,0.6477,6.334,5.018,28,5.018,28,direct_pair_valid,
4,KeterShemTov,KeterShemTovMS_L,0.6397,6.334,4.959,66,4.959,66,direct_pair_valid,
19_2,DaatChacham_Vat107_Main,DaatChacham_Vat214_Main,0.5789,6.334,4.621,55,4.621,55,direct_pair_valid,
5,DaatChacham_Vat107_Main,DaatChacham_Vat214_Main,0.5393,6.334,,66,4.592,78,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
21,DaatChacham_Vat214_Marginalia,UnKnownEskorial,0.6942,6.334,,28,4.543,36,excluded_default_marginalia,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
26_1,DaatChacham_Vat107_Main,DaatChacham_Vat214_Main,0.8750,6.334,4.484,28,4.484,28,direct_pair_valid,
20,DaatChacham_Vat107_Main,DaatChacham_Vat214_Main,0.5466,6.334,4.467,66,4.467,66,direct_pair_valid,
7_2,KeterShemTov,KeterShemTovMS_L,0.5966,6.334,4.249,15,4.249,15,direct_pair_valid,
21,KeterShemTov,Ricanati_Zicaron_aharon_ed,0.6689,6.334,,28,4.241,36,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
6,IbnShuib,Likutim_bhml_1978,0.4396,6.334,4.080,78,4.080,78,direct_pair_valid,
19_1,DaatChacham_Vat107_Main,DaatChacham_Vat214_Main,0.5883,6.334,4.039,28,4.039,28,direct_pair_valid,
4,DaatChacham_Vat107_Main,DaatChacham_Vat214_Main,0.5524,6.334,3.966,66,3.966,66,direct_pair_valid,
9,KeterShemTov,KeterShemTovMS_L,0.7738,6.334,3.946,15,3.946,15,direct_pair_valid,
7_1,KeterShemTov,KeterShemTovMS_L,0.7750,6.334,3.913,45,3.913,45,direct_pair_valid,
11,DaatChacham_Vat107_Main,DaatChacham_Vat214_Main,0.6268,6.334,3.786,45,3.786,45,direct_pair_valid,
14,MeiratEinayim,SaportaOxford1645,0.4713,6.334,,55,3.767,66,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
5,DaatChacham_Vat107_Main,KenegedAsaraMaamaritLondon847,0.4701,6.334,,66,3.662,78,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
11,KeterShemTov,KeterShemTovMS_L,0.5900,6.334,3.424,45,3.424,45,direct_pair_valid,
8,IbnShuib,Likutim_bhml_1978,0.4982,6.334,3.408,36,3.408,36,direct_pair_valid,
12,KeterShemTov,KeterShemTovMS_L,0.5601,6.334,,66,3.394,78,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
8,DaatChacham_Vat107_Main,DaatChacham_Vat214_Main,0.4868,6.334,3.286,36,3.286,36,direct_pair_valid,
14,DaatChacham_Vat214_Main,KenegedAsaraMaamaritLondon847,0.4283,6.334,,55,3.225,66,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
29,UnKnownEskorial,UnKnownVatikan214,0.4667,6.334,3.219,28,3.219,28,direct_pair_valid,
25,IbnShuib,SaportaOxford1645,0.3905,6.334,3.067,28,3.067,28,direct_pair_valid,
23,DaatChacham_Vat214_Marginalia,UnKnownEskorial,0.7179,6.334,,28,2.971,36,excluded_default_marginalia,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
14,DaatChacham_Vat107_Main,KenegedAsaraMaamaritLondon847,0.4072,6.334,,55,2.959,66,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
7_2,DaatChacham_Vat214_Main,KenegedAsaraMaamaritLondon847,0.5015,6.334,2.942,15,2.942,15,direct_pair_valid,
26_1,UnKnownEskorial,UnKnownVatikan214,0.6565,6.334,2.941,28,2.941,28,direct_pair_valid,
5,KeterShemTov,KeterShemTovMS_L,0.4129,6.334,,66,2.892,78,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
26,DaatChacham_Vat107_Main,DaatChacham_Vat214_Main,0.4634,6.334,2.862,66,2.862,66,direct_pair_valid,
22,DaatChacham_Vat214_Marginalia,IbnShuib,0.3823,6.334,,28,2.845,36,excluded_default_marginalia,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
6,KeterShemTov,Ricanati_Zicaron_aharon_ed,0.3395,6.322,2.820,78,2.820,78,direct_pair_valid,
1,DaatChacham_Vat107_Main,DaatChacham_Vat214_Main,0.5534,6.334,2.801,45,2.801,45,direct_pair_valid,
13,KeterShemTov,KeterShemTovMS_L,0.5507,6.334,2.782,45,2.782,45,direct_pair_valid,
21,IbnShuib,Ricanati_Zicaron_aharon_ed,0.5447,6.334,,28,2.755,36,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
24,Comment_b_note_of_unknown,KeterShemTov,0.3458,6.334,2.750,66,2.750,66,direct_pair_valid,
31,DaatChacham_Vat107_Main,DaatChacham_Vat214_Main,0.4521,6.334,2.711,36,2.711,36,direct_pair_valid,
30,DaatChacham_Vat107_Main,DaatChacham_Vat214_Main,0.4758,6.334,,36,2.697,45,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
19_2,DaatChacham_Vat107_Main,KenegedAsaraMaamaritLondon847,0.4283,6.334,2.686,55,2.686,55,direct_pair_valid,
10,Comment_a_shuib_Parma_68,IbnShuib,0.3896,6.334,2.671,55,2.671,55,direct_pair_valid,
24,Comment_b_note_of_unknown,IbnShuib,0.3393,6.322,2.645,66,2.645,66,direct_pair_valid,
30_1,DaatChacham_Vat107_Main,DaatChacham_Vat214_Main,0.4167,6.334,2.625,28,2.625,28,direct_pair_valid,
5,IbnShuib,Likutim_bhml_1978,0.3926,6.334,,66,2.619,78,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
10,KenegedAsaraMaamaritLondon847,Ricanati_Zicaron_aharon_ed,0.3842,6.334,2.593,55,2.593,55,direct_pair_valid,
6,Likutim_bhml_1978,MeiratEinayim,0.3190,6.322,2.562,78,2.562,78,direct_pair_valid,
26,SaportaOxford1645,UnKnownEskorial,0.4308,6.334,2.419,66,2.419,66,direct_pair_valid,
20,Comment_a_shuib_Parma_68,KenegedAsaraMaamaritLondon847,0.3747,6.334,2.417,66,2.417,66,direct_pair_valid,
10,IbnShuib,KenegedAsaraMaamaritLondon847,0.3712,6.334,2.405,55,2.405,55,direct_pair_valid,
6,IbnShuib,Ricanati_Zicaron_aharon_ed,0.3048,6.322,2.383,78,2.383,78,direct_pair_valid,
6,IbnShuib,KeterShemTov,0.3032,6.322,2.363,78,2.363,78,direct_pair_valid,
30,DaatChacham_Vat214_Marginalia,KenegedAsaraMaamaritLondon847,0.4424,6.334,,36,2.323,45,excluded_default_marginalia,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
22,IbnShuib,UnKnownEskorial,0.3428,6.322,,28,2.281,36,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
6,Rabenu_Bahayii,UnKnownEskorial,0.2955,4.737,2.266,78,2.266,78,direct_pair_valid,
26_1,DaatChacham_Vat107_Main,UnKnownEskorial,0.5582,6.334,2.247,28,2.247,28,direct_pair_valid,
6,Likutim_bhml_1978,Ricanati_Zicaron_aharon_ed,0.2932,4.737,2.237,78,2.237,78,direct_pair_valid,
20,IbnShuib,UnKnownVatikan214,0.3574,6.334,2.211,66,2.211,66,direct_pair_valid,
26,SaportaOxford1645,UnKnownVatikan214,0.4130,6.334,2.178,66,2.178,66,direct_pair_valid,
1,KeterShemTov,KeterShemTovMS_L,0.4692,6.334,2.150,45,2.150,45,direct_pair_valid,
25_2,IbnShuib,KeterShemTov,0.3064,6.322,,21,2.140,28,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
30,KenegedAsaraMaamaritLondon847,UnKnownEskorial,0.4261,6.334,,36,2.140,45,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
25,Comment_a_shuib_Parma_68,IbnShuib,0.3124,6.322,2.137,28,2.137,28,direct_pair_valid,
10,KenegedAsaraMaamaritLondon847,MeiratEinayim,0.3522,6.334,2.130,55,2.130,55,direct_pair_valid,
12,DaatChacham_Vat107_Main,MeiratEinayim,0.4124,6.334,,66,2.115,78,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
16,IbnShuib,MeiratEinayim,0.3944,6.334,2.097,28,2.097,28,direct_pair_valid,
4,DaatChacham_Vat107_Main,MeiratEinayim,0.3878,6.334,2.094,66,2.094,66,direct_pair_valid,
7_1,Rabenu_Bahayii,Ricanati_Zicaron_aharon_ed,0.5500,6.334,2.091,45,2.091,45,direct_pair_valid,
10,MeiratEinayim,UnKnownEskorial,0.3490,6.334,2.084,55,2.084,55,direct_pair_valid,
29,KenegedAsaraMaamaritMinchen40,KeterShemTov,0.3839,6.334,2.061,28,2.061,28,direct_pair_valid,
21,DaatChacham_Vat214_Marginalia,Ricanati_Zicaron_aharon_ed,0.4861,6.334,,28,2.055,36,excluded_default_marginalia,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
5,IbnShuib,Ricanati_Zicaron_aharon_ed,0.3491,6.334,,66,2.034,78,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
19_2,DaatChacham_Vat107_Main,MeiratEinayim,0.3770,6.334,2.027,55,2.027,55,direct_pair_valid,
3,IbnShuib,MeiratEinayim,0.1765,2.356,2.007,10,2.007,10,direct_pair_valid,
13,IbnShuib,UnKnownEskorial,0.4720,6.334,1.992,45,1.992,45,direct_pair_valid,
25,DaatChacham_Vat107_Main,MeiratEinayim,0.2957,4.737,1.938,28,1.938,28,direct_pair_valid,
30,IbnShuib,KenegedAsaraMaamaritLondon847,0.4075,6.334,,36,1.932,45,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
25_2,IbnShuib,UnKnownEskorial,0.2891,4.737,,21,1.930,28,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
27,KeterShemTov,Ricanati_Zicaron_aharon_ed,0.3365,6.322,1.930,55,1.930,55,direct_pair_valid,
31,DaatChacham_Vat214_Main,MeiratEinayim,0.3726,6.334,1.924,36,1.924,36,direct_pair_valid,
13,KenegedAsaraMaamaritLondon847,Ricanati_Zicaron_aharon_ed,0.4643,6.334,1.915,45,1.915,45,direct_pair_valid,
26,IbnShuib,UnKnownVatikan214,0.3924,6.334,1.898,66,1.898,66,direct_pair_valid,
17,Comment_a_shuib_Parma_68,KenegedAsaraMaamaritLondon847,0.3068,6.322,1.878,55,1.878,55,direct_pair_valid,
6,MeiratEinayim,SaportaOxford1645,0.2626,6.310,1.852,78,1.852,78,direct_pair_valid,
27,DaatChacham_Vat107_Main,MeiratEinayim,0.3299,6.322,1.850,55,1.850,55,direct_pair_valid,
18,KenegedAsaraMaamaritLondon847,MeiratEinayim,0.3571,6.334,1.848,36,1.848,36,direct_pair_valid,
6,IbnShuib,Rabenu_Bahayii,0.2621,6.310,1.846,78,1.846,78,direct_pair_valid,
19_1,IbnShuib,UnKnownEskorial,0.3943,6.334,1.845,28,1.845,28,direct_pair_valid,
7_1,DaatChacham_Vat107_Main,DaatChacham_Vat214_Main,0.5192,6.334,1.842,45,1.842,45,direct_pair_valid,
1,MeiratEinayim,SaportaOxford1645,0.4293,6.334,1.842,45,1.842,45,direct_pair_valid,
11,KeterShemTovMS_L,Ricanati_Zicaron_aharon_ed,0.4288,6.334,1.836,45,1.836,45,direct_pair_valid,
17,DaatChacham_Vat214_Main,KeterShemTovMS_L,0.3013,4.737,1.817,55,1.817,55,direct_pair_valid,
27,MeiratEinayim,Rabenu_Bahayii,0.3271,6.322,1.816,55,1.816,55,direct_pair_valid,
6,KeterShemTovMS_L,Ricanati_Zicaron_aharon_ed,0.2587,6.310,1.803,78,1.803,78,direct_pair_valid,
14,DaatChacham_Vat107_Main,Rabenu_Bahayii,0.3153,6.322,,55,1.799,66,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
6,Likutim_bhml_1978,SaportaOxford1645,0.2581,6.310,1.796,78,1.796,78,direct_pair_valid,
26,DaatChacham_Vat107_Main,KenegedAsaraMaamaritLondon847,0.3846,6.334,1.792,66,1.792,66,direct_pair_valid,
5,MeiratEinayim,SaportaOxford1645,0.3310,6.322,,66,1.791,78,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
4,KenegedAsaraMaamaritLondon847,MeiratEinayim,0.3611,6.334,1.790,66,1.790,66,direct_pair_valid,
27,DaatChacham_Vat214_Main,MeiratEinayim,0.3248,6.322,1.789,55,1.789,55,direct_pair_valid,
13,KenegedAsaraMaamaritLondon847,UnKnownEskorial,0.4511,6.334,1.783,45,1.783,45,direct_pair_valid,
11,KeterShemTov,Ricanati_Zicaron_aharon_ed,0.4211,6.334,1.761,45,1.761,45,direct_pair_valid,
31,Ricanati_Zicaron_aharon_ed,UnKnownEskorial,0.3551,6.334,1.751,36,1.751,36,direct_pair_valid,
30_1,KeterShemTov,Ricanati_Zicaron_aharon_ed,0.3274,6.322,1.749,28,1.749,28,direct_pair_valid,
18,DaatChacham_Vat107_Main,DaatChacham_Vat214_Main,0.3485,6.334,1.744,36,1.744,36,direct_pair_valid,
31,IbnShuib,Ricanati_Zicaron_aharon_ed,0.3542,6.334,1.742,36,1.742,36,direct_pair_valid,
31,DaatChacham_Vat107_Main,MeiratEinayim,0.3538,6.334,1.738,36,1.738,36,direct_pair_valid,
31,DaatChacham_Vat214_Main,UnKnownEskorial,0.3536,6.334,1.736,36,1.736,36,direct_pair_valid,
19_1,DaatChacham_Vat214_Main,MeiratEinayim,0.3844,6.334,1.733,28,1.733,28,direct_pair_valid,
10,Comment_a_shuib_Parma_68,MeiratEinayim,0.3245,6.322,1.730,55,1.730,55,direct_pair_valid,
4,DaatChacham_Vat214_Main,KenegedAsaraMaamaritLondon847,0.3556,6.334,1.728,66,1.728,66,direct_pair_valid,
15,Rabenu_Bahayii,Ricanati_Zicaron_aharon_ed,0.2895,4.737,1.726,36,1.726,36,direct_pair_valid,
25,DaatChacham_Vat214_Main,MeiratEinayim,0.2763,4.737,1.707,28,1.707,28,direct_pair_valid,
26,KenegedAsaraMaamaritLondon847,UnKnownVatikan214,0.3782,6.334,1.705,66,1.705,66,direct_pair_valid,
3,IbnShuib,Likutim_bhml_1978,0.1564,3.989,1.701,10,1.701,10,direct_pair_valid,
31,DaatChacham_Vat214_Main,IbnShuib,0.3500,6.334,1.700,36,1.700,36,direct_pair_valid,
31,MeiratEinayim,Ricanati_Zicaron_aharon_ed,0.3495,6.334,1.695,36,1.695,36,direct_pair_valid,
2,IbnShuib,KeterShemTovMS_L,0.2494,6.345,1.693,15,1.693,15,direct_pair_valid,
12,DaatChacham_Vat107_Main,KenegedAsaraMaamaritLondon847,0.3636,6.334,,66,1.693,78,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
26,Ricanati_Zicaron_aharon_ed,SaportaOxford1645,0.3769,6.334,1.687,66,1.687,66,direct_pair_valid,
26_1,DaatChacham_Vat214_Main,UnKnownEskorial,0.4784,6.334,1.683,28,1.683,28,direct_pair_valid,
13,DaatChacham_Vat214_Main,MeiratEinayim,0.4406,6.334,1.677,45,1.677,45,direct_pair_valid,
19_1,DaatChacham_Vat214_Main,IbnShuib,0.3783,6.334,1.664,28,1.664,28,direct_pair_valid,
4,IbnShuib,Likutim_bhml_1978,0.3500,6.334,1.664,66,1.664,66,direct_pair_valid,
19_2,KeterShemTov,MeiratEinayim,0.3485,6.334,1.661,55,1.661,55,direct_pair_valid,
5,DaatChacham_Vat214_Marginalia,Ricanati_Zicaron_aharon_ed,0.3211,6.322,,66,1.658,78,excluded_default_marginalia,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
26,IbnShuib,SaportaOxford1645,0.3738,6.334,1.645,66,1.645,66,direct_pair_valid,
6,IbnShuib,UnKnownEskorial,0.2458,6.345,1.641,78,1.641,78,direct_pair_valid,
26,IbnShuib,UnKnownEskorial,0.3734,6.334,1.640,66,1.640,66,direct_pair_valid,
12,IbnShuib,Likutim_bhml_1978,0.3558,6.334,,66,1.625,78,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
24,Rabenu_Bahayii,Ricanati_Zicaron_aharon_ed,0.2751,4.737,1.606,66,1.606,66,direct_pair_valid,
15,KeterShemTovMS_L,Ricanati_Zicaron_aharon_ed,0.2834,4.737,1.589,36,1.589,36,direct_pair_valid,
13,DaatChacham_Vat107_Main,DaatChacham_Vat214_Main,0.4318,6.334,1.589,45,1.589,45,direct_pair_valid,
29,KeterShemTov,UnKnownEskorial,0.3500,6.334,1.586,28,1.586,28,direct_pair_valid,
30_1,IbnShuib,UnKnownEskorial,0.3102,6.322,1.581,28,1.581,28,direct_pair_valid,
27,MeiratEinayim,Ricanati_Zicaron_aharon_ed,0.3066,6.322,1.569,55,1.569,55,direct_pair_valid,
27,Comment_a_shuib_Parma_68,MeiratEinayim,0.3049,6.322,1.549,55,1.549,55,direct_pair_valid,
22,DaatChacham_Vat107_Main,KeterShemTov,0.2903,4.737,,28,1.530,36,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
19_1,DaatChacham_Vat107_Main,IbnShuib,0.3662,6.334,1.528,28,1.528,28,direct_pair_valid,
24,IbnShuib,MeiratEinayim,0.2702,6.310,1.527,66,1.527,66,direct_pair_valid,
26_1,DaatChacham_Vat107_Main,IbnShuib,0.4519,6.334,1.496,28,1.496,28,direct_pair_valid,
13,IbnShuib,KeterShemTovMS_L,0.4216,6.334,1.486,45,1.486,45,direct_pair_valid,
30_1,Ricanati_Zicaron_aharon_ed,UnKnownEskorial,0.3005,4.737,1.486,28,1.486,28,direct_pair_valid,
22,DaatChacham_Vat214_Marginalia,KeterShemTov,0.2871,4.737,,28,1.485,36,excluded_default_marginalia,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
10,KenegedAsaraMaamaritLondon847,Rabenu_Bahayii,0.3068,6.322,1.475,55,1.475,55,direct_pair_valid,
16,MeiratEinayim,Ricanati_Zicaron_aharon_ed,0.3403,6.322,1.474,28,1.474,28,direct_pair_valid,
12,DaatChacham_Vat214_Main,KenegedAsaraMaamaritLondon847,0.3357,6.322,,66,1.451,78,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
30,DaatChacham_Vat214_Marginalia,IbnShuib,0.3636,6.334,,36,1.440,45,excluded_default_marginalia,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
6,Likutim_bhml_1978,UnKnownEskorial,0.2298,3.479,1.440,78,1.440,78,direct_pair_valid,
12,DaatChacham_Vat214_Main,MeiratEinayim,0.3342,6.322,,66,1.438,78,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
16,IbnShuib,Ricanati_Zicaron_aharon_ed,0.3363,6.322,1.427,28,1.427,28,direct_pair_valid,
24,Ricanati_Zicaron_aharon_ed,UnKnownVatikan214,0.2635,6.310,1.419,66,1.419,66,direct_pair_valid,
27,MeiratEinayim,UnKnownVatikan214,0.2936,4.737,1.413,55,1.413,55,direct_pair_valid,
12,DaatChacham_Vat107_Main,KeterShemTovMS_L,0.3311,6.322,,66,1.411,78,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
29,Rabenu_Bahayii,UnKnownEskorial,0.3375,6.322,1.411,28,1.411,28,direct_pair_valid,
27,KenegedAsaraMaamaritParis868,MeiratEinayim,0.2928,4.737,1.403,55,1.403,55,direct_pair_valid,
10,KeterShemTovMS_L,Ricanati_Zicaron_aharon_ed,0.3007,4.737,1.387,55,1.387,55,direct_pair_valid,
21,Ricanati_Zicaron_aharon_ed,UnKnownEskorial,0.4300,6.334,,28,1.384,36,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
22,IbnShuib,MeiratEinayim,0.2799,4.737,,28,1.382,36,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
12,IbnShuib,UnKnownEskorial,0.3275,6.322,,66,1.380,78,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
17,Comment_a_shuib_Parma_68,MeiratEinayim,0.2616,6.310,1.374,55,1.374,55,direct_pair_valid,
6,Ricanati_Zicaron_aharon_ed,UnKnownEskorial,0.2245,3.479,1.373,78,1.373,78,direct_pair_valid,
6,IbnShuib,KeterShemTovMS_L,0.2235,3.479,1.360,78,1.360,78,direct_pair_valid,
14,IbnShuib,KeterShemTovMS_L,0.2804,4.737,,55,1.358,66,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
9,KenegedAsaraMaamaritLondon847,MeiratEinayim,0.4957,6.334,1.356,15,1.356,15,direct_pair_valid,
27,KeterShemTov,MeiratEinayim,0.2888,4.737,1.355,55,1.355,55,direct_pair_valid,
