section,comm_a,comm_b,raw,bits,within_section_z,n_pairs_in_section,legacy_within_section_z,legacy_n_pairs_in_section,v9_status,v9_correction
15,IbnShuib,Ricanati_Zicaron_aharon_ed,0.1230,0.381,-1.999,36,-1.999,36,direct_pair_valid,
26,Comment_a_shuib_Parma_2704,UnKnownEskorial,0.1037,-0.102,-2.024,66,-2.024,66,direct_pair_valid,
21,Rabenu_Bahayii,Ricanati_Zicaron_aharon_ed,0.1433,1.544,,28,-2.045,36,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
2,IbnShuib,MeiratEinayim,0.1362,1.544,-2.050,15,-2.050,15,direct_pair_valid,
20,DaatChacham_Vat214_Main,מערכת האלוהות,0.0000,-3.263,-2.052,66,-2.052,66,direct_pair_valid,
26,KeterShemTov,Rabenu_Bahayii,0.1016,-0.102,-2.053,66,-2.053,66,direct_pair_valid,
24,Comment_a_shuib_Parma_68,Rabenu_Bahayii,0.0463,-2.635,-2.095,66,-2.095,66,direct_pair_valid,
21,MeiratEinayim,Rabenu_Bahayii,0.1391,1.544,,28,-2.095,36,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
26,Comment_a_shuib_Parma_2704,DaatChacham_Vat107_Main,0.0974,-0.102,-2.110,66,-2.110,66,direct_pair_valid,
10,Comment_a_shuib_Parma_68,DaatChacham_Vat107_Main,0.0585,-2.187,-2.112,55,-2.112,55,direct_pair_valid,
24,KenegedAsaraMaamaritLondon847,KeterShemTov,0.0448,-2.635,-2.119,66,-2.119,66,direct_pair_valid,
26,DaatChacham_Vat214_Main,Rabenu_Bahayii,0.0952,-0.102,-2.140,66,-2.140,66,direct_pair_valid,
14,DaatChacham_Vat107_Main,DaatChacham_Vat214_Marginalia,0.0000,-3.263,,55,-2.180,66,excluded_default_marginalia,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
14,DaatChacham_Vat214_Main,DaatChacham_Vat214_Marginalia,0.0000,-3.263,,55,-2.180,66,excluded_default_marginalia,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
14,DaatChacham_Vat214_Marginalia,IbnShuib,0.0000,-3.263,,55,-2.180,66,excluded_default_marginalia,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
14,DaatChacham_Vat214_Marginalia,SaportaOxford1645,0.0000,-3.263,,55,-2.180,66,excluded_default_marginalia,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
